,pengguna,Tweets,sentimen
54,agus_abdulah,"RT @mediaindonesia: “ASDP, Pelni (Pelayaran Nasional Indonesia) dan Pelindo (Pelabuhan Indonesia) ini kita dorong untuk bersinergi membantu…",0
55,mediaindonesia,"Jenama Starbucks akan menyajikan minuman, makanan, dan koleksi merchandise khas untuk merayakan dan menikmati suasa… https://t.co/vwFVjQTVl1",0
56,mediaindonesia,"“ASDP, Pelni (Pelayaran Nasional Indonesia) dan Pelindo (Pelabuhan Indonesia) ini kita dorong untuk bersinergi memb… https://t.co/4QKxcQBC2m",0
57,geletea,RT @mediaindonesia: Kedutaan Besar Republik Indonesia (KBRI) Seoul mengatakan bahwa tidak ada warga negara Indonesia (WNI) yang menjadi kor…,0
58,Ireng87132114,@penjaganyankri @Paltiwest @NasDem @DivHumas_Polri @CCICPolri @Puspen_TNI @BNPTRI @jokowi @mohmahfudmd @prabowo… https://t.co/YN5bpHKAso,0
59,mediaindonesia,"“Melalui Sumpah Pemuda, yang kita kita peringati pada 28 Oktober kemaren kita bias mengambil pelajaran, bahwa musik… https://t.co/hRfOTv2YpI",0
60,mediaindonesia,Kedutaan Besar Republik Indonesia (KBRI) Seoul mengatakan bahwa tidak ada warga negara Indonesia (WNI) yang menjadi… https://t.co/nFYZ0nuRyx,0
61,usman_deu12,@mediaindonesia Namun utk Capres yg di didukung oleh NASDEM saat ini bakal merusak Citra NASDEM pada Pemilu 2024....,0
62,mediaindonesia,Kedutaan Besar RI di Beijing telah mengeluarkan visa bagi 221 wartawan dari berbagai media yang berafiliasi dengan… https://t.co/hN3F6i3OcR,0
63,almf117,"RT @mediaindonesia: Dua Bulan Menuju 2023, Anggaran Belanja Negara Masih Tersisa Rp1.200 Triliun. Hingga akhir September, alokasi belanja n…",0
64,mediaindonesia,"Konser musik 'Berdendang Bergoyang' di Istora Senayan, Sabtu (29/10) malam dihentikan oleh polisi.  https://t.co/afmrF9gppL",0
65,mediaindonesia,"Puncak Milad Ke-45 BKPRMI, Prabowo Subianto Sumbang 25 Mobil Pemelihara Masjid  https://t.co/xJQNbloGLs",0
66,SudartoBram,@penjaganyankri @AlberaD5 @NasDem @DivHumas_Polri @CCICPolri @Puspen_TNI @BNPTRI @jokowi @mohmahfudmd @prabowo… https://t.co/qexQgrjRrN,0
67,DwCuiz,"Ya untuk @PDI_Perjuangan karena bpk @jokowi tahu siapa yg seharusnya dicalonkan,  bukan karena anak atau cucu tokoh… https://t.co/dFztZ6Sejh",0
68,saleemonia,"Oalahh, pantesan hehe https://t.co/e9mkUH7cPI",0
69,mediaindonesia,"Pada malam Halloween kemarin, lebih tepatnya pada hari Sabtu (29/30) malam, setidaknya sekitar 149 orang dilaporkan… https://t.co/frg2o04jPV",0
70,mediaindonesia,"Bila kita tidak melupakan sejarah, Partai NasDem adalah yang pertama kali menyatakan mendukung Joko Widodo sebagai… https://t.co/hKAUtsXEzz",0
71,SuriaB5,@penjaganyankri @Paltiwest @NasDem @DivHumas_Polri @CCICPolri @Puspen_TNI @BNPTRI @jokowi @mohmahfudmd @prabowo… https://t.co/WEkBDm0dkI,0
72,mediaindonesia,Sedikitnya 149 orang tewas dan puluhan lainnya luka-luka akibat terinjak-injak pada acara Halloween di pusat kota S… https://t.co/gSZYKGK2xg,0
73,mediaindonesia,"“Kepada seluruh masyarakat Indonesia, saya mengucapkan selamat memperingati Hari Sumpah Pemuda. Bangkit terus pemud… https://t.co/NPa81r8FyX",0
74,mediaindonesia,Dalam kesempatan itu Syamsurizal mewakili Komisi II juga menanggapi respon masyarakat yang menilai kurangnya transp… https://t.co/EcEv9Hxqad,0
75,mediaindonesia,Kepala Biro Komunikasi dan Pelayanan Publik Kemenkes RI Siti Nadia Tarmizi mengatakan Jepang mendonasikan 200 vial… https://t.co/0ze5gx9RPy,0
76,mediaindonesia,Ribuan Bayi Penyu Dilepasliarkan di Danau Amazon Peru  https://t.co/gEQss3cTec,0
77,AhmadShiddiqN,"RT @thedufresne: Rp 1.200 T itu…

Kalo dipake untuk bikin LRT, bisa dpt 2.400 km. Ujung ke ujung Pulau Sumatera, dari Pelabuhan Bakauheni k…",0
78,mediaindonesia,"Blibli terus meningkatkan kapabilitas dan menerapkan pendekatan yang lebih tepat, lebih dekat, dan lebih familiar b… https://t.co/gfiXcHbsnq",1
79,seminubatonis1,"MEDIA"" INDONESIA BICARA TENTANG KEUNGGULAN UNITSKY STRING TECHNOLOGIES VS MRT 🔥🔥🔥
=====≈============… https://t.co/ttEIqAtIXH",0
80,mediaindonesia,"Kini, di tengah makian dan ujaran kebencian yang bertebaran, memang sudah selayaknya kita mengingat dan merenungi k… https://t.co/EcemRagHgo",0
81,anti_jijikcabul,@penjaganyankri @yonifree @NasDem @DivHumas_Polri @CCICPolri @Puspen_TNI @BNPTRI @jokowi @mohmahfudmd @prabowo… https://t.co/BTQclB6oiz,0
82,mediaindonesia,Salah satu contoh dampak positif dari banyak kegiatan menjelang KTT adalah meningkatnya tingkat hunian hotel-hotel… https://t.co/t6aL5Brdiz,0
83,kasitaudonggw,"RT @bagiwang: Ada banyak PBJ yang akhirnya tertahan karena kena AA, begitu mendekati akhir tahun ternyata banyak sisa. PBJ gak bisa jalan,…",0
84,mediaindonesia,"CEO Segway Motors Indonesia, Yedi Sondy mengungkapkan bahwa pihaknya memiliki target untuk membuka lebih banyak dil… https://t.co/puJhKqFsuB",0
85,mediaindonesia,Percakapan Diri I-IV   https://t.co/0MBsmbhZa5,0
86,arieza023,"RT @bagiwang: Ada banyak PBJ yang akhirnya tertahan karena kena AA, begitu mendekati akhir tahun ternyata banyak sisa. PBJ gak bisa jalan,…",0
87,MaryamM04135566,"RT @yusuf_dumdum: Telak banget ini. Semoga banyak yg sadar dan bisa ambil hikmahnya. ☕️

""Saya bukan seorang politisi, saya tidak akrab den…",0
88,f1rmanh,"RT @ArRayah43832329: @geloraco Emang udah dipersiapkan untuk isi ikbikn... 
Apakah masyarakat Indonesia belum sadar juga???
@SBYudhoyono @N…",0
89,rovz_poppin,"RT @mediaindonesia: Video musik The Astronaut menunjukkan pesona unik Jin sebagai artis solo, saat ia mengungkapkan cintanya kepada ARMY. …",0
90,Nurasyor,@mediaindonesia Politik identitas yang seperti apa ya pak Kapolri ?,0
91,mediaindonesia,"MEMBANGKITKAN kembali gairah memproduksi miniatur kapal, menjadi fokus Universitas Pembangunan Nasional Veteran Jak… https://t.co/1T1ykCo1VJ",0
92,auliafikrah10,"RT @mediaindonesia: Berbagai macam pengalaman selama mengajar tentunya sudah dirasakan oleh para guru maupun dosen.

Buku yang ditulis oleh…",0
93,mediaindonesia,"Menurut Saiful, Syahrial sebagai litbang juga tidak cermat membaca sejarah  https://t.co/sGOvkqLy5M",0
94,mediaindonesia,"Diketahui, PSSI memutuskan untuk mempercepat pelaksanaan KLB, setelah menggelar rapat darurat Exco di Kantor PSSI,… https://t.co/yyOCzGWoKi",0
95,mediaindonesia,"Riri berharap, ini menjadi contoh regenerasi masa depan bersama sama menjada sumberdaya untuk masa depan yang cerah… https://t.co/7y22TEMZUy",0
