;Unnamed: 0;pengguna;Tweets;sentimen;step01;tokens;final_tokens;step02
10;10;mediaindonesia;Wakil Ketua Majelis Syuro Partai Keadilan Sejahtera Ahmad Heryawan bertemu calon presiden (capres) dari Partai NasD… https://t.co/GuuFZEDPbY;0;wakil ketua majelis syuro partai keadilan sejahtera ahmad heryawan bertemu calon presiden capres dari partai nasd coguufzedpby;['wakil', 'ketua', 'majelis', 'syuro', 'partai', 'keadilan', 'sejahtera', 'ahmad', 'heryawan', 'bertemu', 'calon', 'presiden', 'capres', 'dari', 'partai', 'nasd', 'coguufzedpby'];['wakil', 'ketua', 'majelis', 'syuro', 'partai', 'keadilan', 'sejahtera', 'ahmad', 'heryawan', 'bertemu', 'calon', 'presiden', 'capres', 'dari', 'partai', 'nasd', 'coguufzedpby'];wakil ketua majelis syuro partai keadilan sejahtera ahmad heryawan bertemu calon presiden capres dari partai nasd coguufzedpby
11;11;mediaindonesia;Ia menyerukan kepada para mahasiswa untuk menjadi kekuatan perubahan.   https://t.co/mXrKUEqViE;0;ia menyerukan kepada para mahasiswa untuk menjadi kekuatan perubahan comxrkueqvie;['ia', 'menyerukan', 'kepada', 'para', 'mahasiswa', 'untuk', 'menjadi', 'kekuatan', 'perubahan', 'comxrkueqvie'];['ia', 'menyerukan', 'kepada', 'para', 'mahasiswa', 'untuk', 'menjadi', 'kekuatan', 'perubahan', 'comxrkueqvie'];ia menyerukan kepada para mahasiswa untuk menjadi kekuatan perubahan comxrkueqvie
12;12;mediaindonesia;Wakil Ketua Majelis Syura Partai Keadilan Sejahtera (PKS) Ahmad Heryawan (Aher) mengatakan hubungan partainya denga… https://t.co/QEY3cnibcX;0;wakil ketua majelis syura partai keadilan sejahtera pks ahmad heryawan aher mengatakan hubungan partainya denga coqey3cnibcx;['wakil', 'ketua', 'majelis', 'syura', 'partai', 'keadilan', 'sejahtera', 'pks', 'ahmad', 'heryawan', 'aher', 'mengatakan', 'hubungan', 'partainya', 'denga', 'coqey3cnibcx'];['wakil', 'ketua', 'majelis', 'syura', 'partai', 'keadilan', 'sejahtera', 'pks', 'ahmad', 'heryawan', 'aher', 'mengatakan', 'hubungan', 'partainya', 'denga', 'coqey3cnibcx'];wakil ketua majelis syura partai keadilan sejahtera pks ahmad heryawan aher mengatakan hubungan partainya denga coqey3cnibcx
13;13;mediaindonesia;"Colekan dari PKS disampaikan melalui aneka pantun. Anies turut meresponsnya dengan pantun.

  https://t.co/JSfsV6J7CD";0;colekan dari pks disampaikan melalui aneka pantun anies turut meresponsnya dengan pantun cojsfsv6j7cd;['colekan', 'dari', 'pks', 'disampaikan', 'melalui', 'aneka', 'pantun', 'anies', 'turut', 'meresponsnya', 'dengan', 'pantun', 'cojsfsv6j7cd'];['colekan', 'dari', 'pks', 'disampaikan', 'melalui', 'aneka', 'pantun', 'anies', 'turut', 'meresponsnya', 'dengan', 'pantun', 'cojsfsv6j7cd'];colekan dari pks disampaikan melalui aneka pantun anies turut meresponsnya dengan pantun cojsfsv6j7cd
14;14;mediaindonesia;Orde Kolaborasi, Tata Baru Pasca-Pembelahan Politik  https://t.co/qK9rJyOZNb;0;orde kolaborasi tata baru pasca pembelahan politik coqk9rjyoznb;['orde', 'kolaborasi', 'tata', 'baru', 'pasca', 'pembelahan', 'politik', 'coqk9rjyoznb'];['orde', 'kolaborasi', 'tata', 'baru', 'pasca', 'pembelahan', 'politik', 'coqk9rjyoznb'];orde kolaborasi tata baru pasca pembelahan politik coqk9rjyoznb
15;15;Davefranz5;@penjaganyankri @NasDem @DivHumas_Polri @CCICPolri @Puspen_TNI @BNPTRI @jokowi @mohmahfudmd @prabowo @edo751945… https://t.co/h2pUGMCE84;0;user user user user user user user user user user coh2pugmce84;['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'coh2pugmce84'];['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'coh2pugmce84'];user user user user user user user user user user coh2pugmce84
16;16;_ekopri;"@aries_bintan @A3jati Referensi media @rmol_id ..?
Centang biru aja nggak…🤣😂😅

Ambil referensi itu yg agak “umum” d… https://t.co/Wt0DwKGgdF";0;user user referensi media user centang biru aja nggak ambil referensi itu yg agak umum cowt0dwkggdf;['user', 'user', 'referensi', 'media', 'user', 'centang', 'biru', 'aja', 'nggak', 'ambil', 'referensi', 'itu', 'yg', 'agak', 'umum', 'cowt0dwkggdf'];['user', 'user', 'referensi', 'media', 'user', 'centang', 'biru', 'aja', 'nggak', 'ambil', 'referensi', 'itu', 'yg', 'agak', 'umum', 'cowt0dwkggdf'];user user referensi media user centang biru aja nggak ambil referensi itu yg agak umum cowt0dwkggdf
17;17;eriemrn;RT @mediaindonesia: Presiden Somalia Hassan Sheikh Mohamud mengatakan sedikitnya 100 orang tewas dan 300 terluka dalam dua ledakan bom mobi…;0;rt user presiden somalia hassan sheikh mohamud mengatakan sedikitnya number orang tewas dan number terluka dalam dua ledakan bom mobi;['rt', 'user', 'presiden', 'somalia', 'hassan', 'sheikh', 'mohamud', 'mengatakan', 'sedikitnya', 'number', 'orang', 'tewas', 'dan', 'number', 'terluka', 'dalam', 'dua', 'ledakan', 'bom', 'mobi'];['rt', 'user', 'presiden', 'somalia', 'hassan', 'sheikh', 'mohamud', 'mengatakan', 'sedikitnya', 'number', 'orang', 'tewas', 'dan', 'number', 'terluka', 'dalam', 'dua', 'ledakan', 'bom', 'mobi'];rt user presiden somalia hassan sheikh mohamud mengatakan sedikitnya number orang tewas dan number terluka dalam dua ledakan bom mobi
18;18;mediaindonesia;Presiden Somalia Hassan Sheikh Mohamud mengatakan sedikitnya 100 orang tewas dan 300 terluka dalam dua ledakan bom… https://t.co/Cc6VxEPMNH;0;presiden somalia hassan sheikh mohamud mengatakan sedikitnya number orang tewas dan number terluka dalam dua ledakan bom cocc6vxepmnh;['presiden', 'somalia', 'hassan', 'sheikh', 'mohamud', 'mengatakan', 'sedikitnya', 'number', 'orang', 'tewas', 'dan', 'number', 'terluka', 'dalam', 'dua', 'ledakan', 'bom', 'cocc6vxepmnh'];['presiden', 'somalia', 'hassan', 'sheikh', 'mohamud', 'mengatakan', 'sedikitnya', 'number', 'orang', 'tewas', 'dan', 'number', 'terluka', 'dalam', 'dua', 'ledakan', 'bom', 'cocc6vxepmnh'];presiden somalia hassan sheikh mohamud mengatakan sedikitnya number orang tewas dan number terluka dalam dua ledakan bom cocc6vxepmnh
19;19;XXX_SamURay63;@mediaindonesia Iyee,  contohnya situng kpu 1+1=11, ato pembobolan dan penjualan data2 pribadi tiap sebentar, bjorka merajalela;0;user iyee contohnya situng kpu number number number ato pembobolan dan penjualan data2 pribadi tiap sebentar bjorka merajalela;['user', 'iyee', 'contohnya', 'situng', 'kpu', 'number', 'number', 'number', 'ato', 'pembobolan', 'dan', 'penjualan', 'data2', 'pribadi', 'tiap', 'sebentar', 'bjorka', 'merajalela'];['user', 'iyee', 'contohnya', 'situng', 'kpu', 'number', 'number', 'number', 'ato', 'pembobolan', 'dan', 'penjualan', 'data2', 'pribadi', 'tiap', 'sebentar', 'bjorka', 'merajalela'];user iyee contohnya situng kpu number number number ato pembobolan dan penjualan data2 pribadi tiap sebentar bjorka merajalela
20;20;mediaindonesia;Guna mendukung kompetensi tenaga kerja konstruksi sekaligus sumber daya manusia (SDM) di bidang konstruksi, Nippon… https://t.co/WlaIfcIrFy;0;guna mendukung kompetensi tenaga kerja konstruksi sekaligus sumber daya manusia sdm di bidang konstruksi nippon cowlaifcirfy;['guna', 'mendukung', 'kompetensi', 'tenaga', 'kerja', 'konstruksi', 'sekaligus', 'sumber', 'daya', 'manusia', 'sdm', 'di', 'bidang', 'konstruksi', 'nippon', 'cowlaifcirfy'];['guna', 'mendukung', 'kompetensi', 'tenaga', 'kerja', 'konstruksi', 'sekaligus', 'sumber', 'daya', 'manusia', 'sdm', 'di', 'bidang', 'konstruksi', 'nippon', 'cowlaifcirfy'];guna mendukung kompetensi tenaga kerja konstruksi sekaligus sumber daya manusia sdm di bidang konstruksi nippon cowlaifcirfy
21;21;mediaindonesia;Guna mendukung kompetensi tenaga kerja konstruksi sekaligus sumber daya manusia (SDM) di bidang konstruksi, Nippon… https://t.co/izCyZIcD8s;0;guna mendukung kompetensi tenaga kerja konstruksi sekaligus sumber daya manusia sdm di bidang konstruksi nippon coizcyzicd8s;['guna', 'mendukung', 'kompetensi', 'tenaga', 'kerja', 'konstruksi', 'sekaligus', 'sumber', 'daya', 'manusia', 'sdm', 'di', 'bidang', 'konstruksi', 'nippon', 'coizcyzicd8s'];['guna', 'mendukung', 'kompetensi', 'tenaga', 'kerja', 'konstruksi', 'sekaligus', 'sumber', 'daya', 'manusia', 'sdm', 'di', 'bidang', 'konstruksi', 'nippon', 'coizcyzicd8s'];guna mendukung kompetensi tenaga kerja konstruksi sekaligus sumber daya manusia sdm di bidang konstruksi nippon coizcyzicd8s
22;22;mediaindonesia;Relawan Puan Sebar Ratusan Paket Sembako untuk Masyarakat Banten  https://t.co/0QRXhT6Kz3;0;relawan puan sebar ratusan paket sembako untuk masyarakat banten co0qrxht6kz3;['relawan', 'puan', 'sebar', 'ratusan', 'paket', 'sembako', 'untuk', 'masyarakat', 'banten', 'co0qrxht6kz3'];['relawan', 'puan', 'sebar', 'ratusan', 'paket', 'sembako', 'untuk', 'masyarakat', 'banten', 'co0qrxht6kz3'];relawan puan sebar ratusan paket sembako untuk masyarakat banten co0qrxht6kz3
23;23;mediaindonesia;Sementara, Menhub Budi Karya mengatakan, pemerintah akan memfasilitasi berbagai infrastruktur kendaraan listrik  https://t.co/3jH0O0MXIr;0;sementara menhub budi karya mengatakan pemerintah akan memfasilitasi berbagai infrastruktur kendaraan listrik co3jh0o0mxir;['sementara', 'menhub', 'budi', 'karya', 'mengatakan', 'pemerintah', 'akan', 'memfasilitasi', 'berbagai', 'infrastruktur', 'kendaraan', 'listrik', 'co3jh0o0mxir'];['sementara', 'menhub', 'budi', 'karya', 'mengatakan', 'pemerintah', 'akan', 'memfasilitasi', 'berbagai', 'infrastruktur', 'kendaraan', 'listrik', 'co3jh0o0mxir'];sementara menhub budi karya mengatakan pemerintah akan memfasilitasi berbagai infrastruktur kendaraan listrik co3jh0o0mxir
24;24;mediaindonesia;Martono optimistis langkah Jokowi menggenjot percepatan digitalisasi di Tanah Air berdampak pada kemajuan menuju In… https://t.co/Lpnt8eWazE;0;martono optimistis langkah jokowi menggenjot percepatan digitalisasi di tanah air berdampak pada kemajuan menuju in colpnt8ewaze;['martono', 'optimistis', 'langkah', 'jokowi', 'menggenjot', 'percepatan', 'digitalisasi', 'di', 'tanah', 'air', 'berdampak', 'pada', 'kemajuan', 'menuju', 'in', 'colpnt8ewaze'];['martono', 'optimistis', 'langkah', 'jokowi', 'menggenjot', 'percepatan', 'digitalisasi', 'di', 'tanah', 'air', 'berdampak', 'pada', 'kemajuan', 'menuju', 'in', 'colpnt8ewaze'];martono optimistis langkah jokowi menggenjot percepatan digitalisasi di tanah air berdampak pada kemajuan menuju in colpnt8ewaze
25;25;mediaindonesia;RATUSAN angkutan kota (angkot) di Kota Depok, Jawa Barat dalam tiga tahun terakhir menunggak pajak. Total tunggakan… https://t.co/aT27Z40OIB;0;ratusan angkutan kota angkot di kota depok jawa barat dalam tiga tahun terakhir menunggak pajak total tunggakan coat27z40oib;['ratusan', 'angkutan', 'kota', 'angkot', 'di', 'kota', 'depok', 'jawa', 'barat', 'dalam', 'tiga', 'tahun', 'terakhir', 'menunggak', 'pajak', 'total', 'tunggakan', 'coat27z40oib'];['ratusan', 'angkutan', 'kota', 'angkot', 'di', 'kota', 'depok', 'jawa', 'barat', 'dalam', 'tiga', 'tahun', 'terakhir', 'menunggak', 'pajak', 'total', 'tunggakan', 'coat27z40oib'];ratusan angkutan kota angkot di kota depok jawa barat dalam tiga tahun terakhir menunggak pajak total tunggakan coat27z40oib
26;26;MdFarel;@mediaindonesia Bisa kali dibantu breakdown rinciannya;0;user bisa kali dibantu breakdown rinciannya;['user', 'bisa', 'kali', 'dibantu', 'breakdown', 'rinciannya'];['user', 'bisa', 'kali', 'dibantu', 'breakdown', 'rinciannya'];user bisa kali dibantu breakdown rinciannya
27;27;WibuAbdiNegoro;RT @bagiwang: Ada banyak PBJ yang akhirnya tertahan karena kena AA, begitu mendekati akhir tahun ternyata banyak sisa. PBJ gak bisa jalan,…;0;rt user ada banyak pbj yang akhirnya tertahan karena kena aa begitu mendekati akhir tahun ternyata banyak sisa pbj gak bisa jalan;['rt', 'user', 'ada', 'banyak', 'pbj', 'yang', 'akhirnya', 'tertahan', 'karena', 'kena', 'aa', 'begitu', 'mendekati', 'akhir', 'tahun', 'ternyata', 'banyak', 'sisa', 'pbj', 'gak', 'bisa', 'jalan'];['rt', 'user', 'ada', 'banyak', 'pbj', 'yang', 'akhirnya', 'tertahan', 'karena', 'kena', 'aa', 'begitu', 'mendekati', 'akhir', 'tahun', 'ternyata', 'banyak', 'sisa', 'pbj', 'gak', 'bisa', 'jalan'];rt user ada banyak pbj yang akhirnya tertahan karena kena aa begitu mendekati akhir tahun ternyata banyak sisa pbj gak bisa jalan
28;28;mediaindonesia;Pembalap Formula 1 (F1) Max Verstappen sukses merebut pole position Grand Prix (GP) Meksiko, setelah mengalahkan du… https://t.co/0HoPWuzneD;1;pembalap formula number f1 max verstappen sukses merebut pole position grand prix gp meksiko setelah mengalahkan du co0hopwuzned;['pembalap', 'formula', 'number', 'f1', 'max', 'verstappen', 'sukses', 'merebut', 'pole', 'position', 'grand', 'prix', 'gp', 'meksiko', 'setelah', 'mengalahkan', 'du', 'co0hopwuzned'];['pembalap', 'formula', 'number', 'f1', 'max', 'verstappen', 'sukses', 'merebut', 'pole', 'position', 'grand', 'prix', 'gp', 'meksiko', 'setelah', 'mengalahkan', 'du', 'co0hopwuzned'];pembalap formula number f1 max verstappen sukses merebut pole position grand prix gp meksiko setelah mengalahkan du co0hopwuzned
29;29;mediaindonesia;Petenis putri nomor satu dunia Iga Swiatek berkeinginan menutup musim 2022 dengan mahkota juara WTA Finals. Di mana… https://t.co/elcYLNIUGT;0;petenis putri nomor satu dunia iga swiatek berkeinginan menutup musim number dengan mahkota juara wta finals di mana coelcylniugt;['petenis', 'putri', 'nomor', 'satu', 'dunia', 'iga', 'swiatek', 'berkeinginan', 'menutup', 'musim', 'number', 'dengan', 'mahkota', 'juara', 'wta', 'finals', 'di', 'mana', 'coelcylniugt'];['petenis', 'putri', 'nomor', 'satu', 'dunia', 'iga', 'swiatek', 'berkeinginan', 'menutup', 'musim', 'number', 'dengan', 'mahkota', 'juara', 'wta', 'finals', 'di', 'mana', 'coelcylniugt'];petenis putri nomor satu dunia iga swiatek berkeinginan menutup musim number dengan mahkota juara wta finals di mana coelcylniugt
30;30;mediaindonesia;Luhut Binsar Pandjaitan yakin ekonomi Indonesia akan bertahan terhadap ketidakpastian ekonomi global dengan meningk… https://t.co/ozX4iAC11i;0;luhut binsar pandjaitan yakin ekonomi indonesia akan bertahan terhadap ketidakpastian ekonomi global dengan meningk coozx4iac11i;['luhut', 'binsar', 'pandjaitan', 'yakin', 'ekonomi', 'indonesia', 'akan', 'bertahan', 'terhadap', 'ketidakpastian', 'ekonomi', 'global', 'dengan', 'meningk', 'coozx4iac11i'];['luhut', 'binsar', 'pandjaitan', 'yakin', 'ekonomi', 'indonesia', 'akan', 'bertahan', 'terhadap', 'ketidakpastian', 'ekonomi', 'global', 'dengan', 'meningk', 'coozx4iac11i'];luhut binsar pandjaitan yakin ekonomi indonesia akan bertahan terhadap ketidakpastian ekonomi global dengan meningk coozx4iac11i
31;31;AdeIqbal17;Perbanyak literasi lah, sulit kalau ingin jadi anggota parlemen sementara pengetahuan sejarahnya minim begitu.… https://t.co/bpxWc1TSWN;0;perbanyak literasi lah sulit kalau ingin jadi anggota parlemen sementara pengetahuan sejarahnya minim begitu cobpxwc1tswn;['perbanyak', 'literasi', 'lah', 'sulit', 'kalau', 'ingin', 'jadi', 'anggota', 'parlemen', 'sementara', 'pengetahuan', 'sejarahnya', 'minim', 'begitu', 'cobpxwc1tswn'];['perbanyak', 'literasi', 'lah', 'sulit', 'kalau', 'ingin', 'jadi', 'anggota', 'parlemen', 'sementara', 'pengetahuan', 'sejarahnya', 'minim', 'begitu', 'cobpxwc1tswn'];perbanyak literasi lah sulit kalau ingin jadi anggota parlemen sementara pengetahuan sejarahnya minim begitu cobpxwc1tswn
32;32;mediaindonesia;Ondoafi dari Suku Tibo ini mengungkapkan kegembiraannya atas kemajuan sikap Lukas sehingga sangkaan korupsi yang me… https://t.co/L7KnVSUQzJ;0;ondoafi dari suku tibo ini mengungkapkan kegembiraannya atas kemajuan sikap lukas sehingga sangkaan korupsi yang me col7knvsuqzj;['ondoafi', 'dari', 'suku', 'tibo', 'ini', 'mengungkapkan', 'kegembiraannya', 'atas', 'kemajuan', 'sikap', 'lukas', 'sehingga', 'sangkaan', 'korupsi', 'yang', 'me', 'col7knvsuqzj'];['ondoafi', 'dari', 'suku', 'tibo', 'ini', 'mengungkapkan', 'kegembiraannya', 'atas', 'kemajuan', 'sikap', 'lukas', 'sehingga', 'sangkaan', 'korupsi', 'yang', 'me', 'col7knvsuqzj'];ondoafi dari suku tibo ini mengungkapkan kegembiraannya atas kemajuan sikap lukas sehingga sangkaan korupsi yang me col7knvsuqzj
33;33;mediaindonesia;“Tingginya jumlah peserta dalam kompetisi bidang khusus ini mewakili keberhasilan upaya Daikin dalam mempromosikan… https://t.co/Iu9jWJxr6h;0;tingginya jumlah peserta dalam kompetisi bidang khusus ini mewakili keberhasilan upaya daikin dalam mempromosikan coiu9jwjxr6h;['tingginya', 'jumlah', 'peserta', 'dalam', 'kompetisi', 'bidang', 'khusus', 'ini', 'mewakili', 'keberhasilan', 'upaya', 'daikin', 'dalam', 'mempromosikan', 'coiu9jwjxr6h'];['tingginya', 'jumlah', 'peserta', 'dalam', 'kompetisi', 'bidang', 'khusus', 'ini', 'mewakili', 'keberhasilan', 'upaya', 'daikin', 'dalam', 'mempromosikan', 'coiu9jwjxr6h'];tingginya jumlah peserta dalam kompetisi bidang khusus ini mewakili keberhasilan upaya daikin dalam mempromosikan coiu9jwjxr6h
34;34;mediaindonesia;Telkomsel melalui platform video MAXstream kembali menghadirkan konten video on demand service berjudul Healing tel… https://t.co/mwZ6Ap8m5C;0;telkomsel melalui platform video maxstream kembali menghadirkan konten video on demand service berjudul healing tel comwz6ap8m5c;['telkomsel', 'melalui', 'platform', 'video', 'maxstream', 'kembali', 'menghadirkan', 'konten', 'video', 'on', 'demand', 'service', 'berjudul', 'healing', 'tel', 'comwz6ap8m5c'];['telkomsel', 'melalui', 'platform', 'video', 'maxstream', 'kembali', 'menghadirkan', 'konten', 'video', 'on', 'demand', 'service', 'berjudul', 'healing', 'tel', 'comwz6ap8m5c'];telkomsel melalui platform video maxstream kembali menghadirkan konten video on demand service berjudul healing tel comwz6ap8m5c
35;35;mediaindonesia;Sehubungan dengan kejadian yang menimpa turis lokal dan mancanegara di Itaewon, Seoul, pada malam Halloween atau Sa… https://t.co/wA9H33vYID;0;sehubungan dengan kejadian yang menimpa turis lokal dan mancanegara di itaewon seoul pada malam halloween atau sa cowa9h33vyid;['sehubungan', 'dengan', 'kejadian', 'yang', 'menimpa', 'turis', 'lokal', 'dan', 'mancanegara', 'di', 'itaewon', 'seoul', 'pada', 'malam', 'halloween', 'atau', 'sa', 'cowa9h33vyid'];['sehubungan', 'dengan', 'kejadian', 'yang', 'menimpa', 'turis', 'lokal', 'dan', 'mancanegara', 'di', 'itaewon', 'seoul', 'pada', 'malam', 'halloween', 'atau', 'sa', 'cowa9h33vyid'];sehubungan dengan kejadian yang menimpa turis lokal dan mancanegara di itaewon seoul pada malam halloween atau sa cowa9h33vyid
36;36;gnijnasional;RT @mediaindonesia: Dalam survei yang melibatkan 1.200 responden itu, Ridwan Kamil paling banyak dipilih karena dinilai sebagai pribadi sed…;0;rt user dalam survei yang melibatkan number responden itu ridwan kamil paling banyak dipilih karena dinilai sebagai pribadi sed;['rt', 'user', 'dalam', 'survei', 'yang', 'melibatkan', 'number', 'responden', 'itu', 'ridwan', 'kamil', 'paling', 'banyak', 'dipilih', 'karena', 'dinilai', 'sebagai', 'pribadi', 'sed'];['rt', 'user', 'dalam', 'survei', 'yang', 'melibatkan', 'number', 'responden', 'itu', 'ridwan', 'kamil', 'paling', 'banyak', 'dipilih', 'karena', 'dinilai', 'sebagai', 'pribadi', 'sed'];rt user dalam survei yang melibatkan number responden itu ridwan kamil paling banyak dipilih karena dinilai sebagai pribadi sed
